sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.037;55;;60rounds;Yes;No;2;0.44046;0.81043;0.17327;0.48882;1.25089;BoulwareNegotiationParty@30;BoulwareNegotiationParty@31;0.8104286283602155;0.4404567084716781;0.8104286283602155;0.4404567084716781;0.6666666666666666;0.5;0.0;0.0;0.8104286283602155;0.4404567084716781;party1_utility.xml;party2_utility.xml
0.447;53;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent_bak2@32;BoulwareNegotiationParty@33;0.7848203045598152;0.9286081893072814;0.7848203045598152;0.9286081893072814;0.3333333333333333;0.8333333333333333;0.0;0.0;0.7848203045598152;0.9286081893072814;party1_utility.xml;party2_utility.xml
0.350;54;;60rounds;Yes;No;2;0.63079;0.74222;0.14948;0.30085;1.37301;BoulwareNegotiationParty@34;Agent_bak2@35;0.7422226727294002;0.6307889660805717;0.7422226727294002;0.6307889660805717;0.5;0.3333333333333333;0.0;0.0;0.7422226727294002;0.6307889660805717;party1_utility.xml;party2_utility.xml
0.465;32;;60rounds;Yes;No;2;0.25659;0.66448;0.32798;0.68271;0.92107;Agent_bak2@36;Agent_bak2@37;0.6644801685667635;0.2565882643304371;0.6644801685667635;0.2565882643304371;0.5;0.16666666666666666;0.0;0.0;0.6644801685667635;0.2565882643304371;party1_utility.xml;party2_utility.xml
