sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
0.508;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;BoulwareNegotiationParty@38;Agent1@39;Agent1@40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.776;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent1@41;Agent1@42;Agent1@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.512;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent33@44;Agent1@45;Agent1@46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.320;61;;60rounds;Yes;No;3;0.75310;0.82619;0.00000;0.18643;2.35945;BoulwareNegotiationParty@47;Agent33@48;Agent1@49;0.7530972636124448;0.7801624560515735;0.8261869563013313;0.7530972636124448;0.7801624560515735;0.8261869563013313;0.3333333333333333;0.5;0.8261869563013313;0.0;0.0;0.0;0.7530972636124448;0.7801624560515735;0.8261869563013313;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.718;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent1@50;Agent33@51;Agent1@52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.339;61;;60rounds;No;No;2;0.00000;0.00000;1.16596;1.41200;0.00000;Agent33@53;Agent33@54;Agent1@55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.107;61;;60rounds;Yes;No;3;0.56130;0.83812;0.08783;0.40673;2.05744;BoulwareNegotiationParty@56;BoulwareNegotiationParty@57;Agent33@58;0.6580295859841668;0.5612968143264054;0.8381178397389303;0.6580295859841668;0.5612968143264054;0.8381178397389303;0.3333333333333333;0.5;0.8381178397389303;0.0;0.0;0.0;0.6580295859841668;0.5612968143264054;0.8381178397389303;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.397;61;;60rounds;No;No;2;0.00000;0.00000;1.16596;1.41200;0.00000;Agent1@59;BoulwareNegotiationParty@60;Agent33@61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.120;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent33@62;BoulwareNegotiationParty@63;Agent33@64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.296;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;BoulwareNegotiationParty@65;Agent1@66;Agent33@67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.563;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent1@68;Agent1@69;Agent33@70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.303;59;;60rounds;Yes;No;3;0.72959;0.91213;0.00000;0.02373;2.41403;Agent33@71;Agent1@72;Agent33@73;0.7723080665240684;0.9121320382880007;0.7295857619139015;0.7723080665240684;0.9121320382880007;0.7295857619139015;0.3333333333333333;0.6666666666666666;0.7295857619139015;0.0;0.0;0.0;0.7723080665240684;0.9121320382880007;0.7295857619139015;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.126;59;;60rounds;Yes;No;3;0.66852;0.86901;0.00000;0.27358;2.26616;BoulwareNegotiationParty@74;Agent33@75;Agent33@76;0.8690133913050485;0.6685230397071138;0.7286224782963279;0.8690133913050485;0.6685230397071138;0.7286224782963279;0.6666666666666666;0.3333333333333333;0.7286224782963279;0.0;0.0;0.0;0.8690133913050485;0.6685230397071138;0.7286224782963279;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.538;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent1@77;Agent33@78;Agent33@79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.146;61;;60rounds;No;No;1;0.00000;0.00000;1.16596;1.41200;0.00000;Agent33@80;Agent33@81;Agent33@82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
